seq,host_time,device,point,value,user,outcome,message
487,2026-09-15 23:44:39.036,IM-01,im01.cavitySetTemp,235,op01,Succeeded,-
714,2026-09-15 23:44:44.821,IM-01,im01.moldCloseJog,True,op01,Succeeded,-
866,2026-09-15 23:44:49.017,IM-01,im01.cavitySetTemp,400,op01,Rejected,ss.reason.aboveMax
1062,2026-09-15 23:44:54.016,IM-01,im01.totalMolds,100,op01,Rejected,ss.reason.notWritable
1246,2026-09-15 23:44:59.020,ENV-01,env01.acSetTemp,28,op01,Succeeded,-
1633,2026-09-15 23:45:09.018,IM-01,im01.ratedPower,45.5,op01,Succeeded,-
1634,2026-09-15 23:45:09.022,EM-01,em01.demandThreshold,320,op01,Succeeded,-
2220,2026-09-15 23:45:24.018,PROT-02,prot02.singleWord,1234,op01,Succeeded,-
2409,2026-09-15 23:45:29.019,PROT-02,prot02.twoWordValue,123456,op01,Failed,ss.error.writeFailed
2771,2026-09-15 23:45:39.018,IM-01,im01.estop,True,op01,Succeeded,-
3158,2026-09-15 23:45:49.018,IM-01,im01.estop,False,op01,Succeeded,-
3544,2026-09-15 23:45:59.019,ENV-01,env01.acSetTemp,24,op01,Succeeded,-
4302,2026-09-15 23:46:19.018,GW-LINE-B,dry01.materialBatch,BATCH-2026W38,op01,Succeeded,-
