seq,host_time,device,point,quality,value,reason
1,2026-09-15 23:36:32.475,IM-01,im01.statusWord,Good,1,
2,2026-09-15 23:36:32.475,GW-LINE-B,mtc01.ready,Good,True,
3,2026-09-15 23:36:32.475,EM-01,em01.totalEnergy,Good,3863,
4,2026-09-15 23:36:32.476,IM-01,im01.alarmCode,Good,0,
5,2026-09-15 23:36:32.476,GW-LINE-B,mtc01.heating,Good,False,
6,2026-09-15 23:36:32.476,EM-01,em01.forwardEnergy,Good,3863,
7,2026-09-15 23:36:32.476,EM-01,em01.voltageA,Good,385,
8,2026-09-15 23:36:32.477,ENV-01,env01.roomTemp,Good,23.9,
9,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.actualTemp,Good,103.7,
10,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.returnTemp,Good,101.8,
11,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.pumpPressure,Good,3,
12,2026-09-15 23:36:32.478,IM-01,im01.totalMolds,Good,2,
13,2026-09-15 23:36:32.478,IM-01,im01.goodParts,Good,2,
14,2026-09-15 23:36:32.478,IM-01,im01.rejectParts,Good,0,
15,2026-09-15 23:36:32.478,IM-01,im01.cycleTime,Good,40.5,
16,2026-09-15 23:36:32.478,IM-01,im01.avgCycleTime,Good,37.7,
17,2026-09-15 23:36:32.478,IM-01,im01.oee,Good,10,
18,2026-09-15 23:36:32.478,IM-01,im01.stage,Good,0,
19,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.pumpFlow,Good,26,
20,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.pumpCurrent,Good,5.1,
21,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.heatPower,Good,8,
22,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.outletTemp,Good,104.2,
23,2026-09-15 23:36:32.478,GW-LINE-B,mtc01.tempAvg,Good,1037.208,
24,2026-09-15 23:36:32.478,IM-01,im01.batchNo,Good,2002,
25,2026-09-15 23:36:32.478,ENV-01,env01.humidity,Good,53,
26,2026-09-15 23:36:32.478,ENV-01,env01.dewPoint,Good,14.6,
27,2026-09-15 23:36:32.478,ENV-01,env01.noise,Good,74,
28,2026-09-15 23:36:32.478,ENV-01,env01.co2,Good,450,
29,2026-09-15 23:36:32.478,ENV-01,env01.pm25,Good,39,
30,2026-09-15 23:36:32.478,ENV-01,env01.pressureDiff,Good,1,
31,2026-09-15 23:36:32.478,ENV-01,env01.illuminance,Good,429,
32,2026-09-15 23:36:32.478,EM-01,em01.voltageB,Good,380,
33,2026-09-15 23:36:32.478,EM-01,em01.voltageC,Good,376,
34,2026-09-15 23:36:32.478,EM-01,em01.currentA,Good,210.4,
36,2026-09-15 23:36:32.478,EM-01,em01.activePower,Good,116,
35,2026-09-15 23:36:32.478,ENV-01,env01.roomTempDual,Good,0,
37,2026-09-15 23:36:32.478,EM-01,em01.reactivePower,Good,28,
38,2026-09-15 23:36:32.478,EM-01,em01.powerFactor,Good,0.876,
39,2026-09-15 23:36:32.478,ENV-01,env01.tempFluctuation,Good,12.37912,
40,2026-09-15 23:36:32.478,EM-01,em01.frequency,Good,50.06,
41,2026-09-15 23:36:32.478,EM-01,em01.alarmCode,Good,0,
42,2026-09-15 23:36:32.478,EM-01,em01.demand,Good,116,
43,2026-09-15 23:36:32.478,EM-01,em01.energyF64,Good,39.2185000000001,
44,2026-09-15 23:36:32.478,EM-01,em01.unbalance,Good,2.368421,
45,2026-09-15 23:36:32.478,EM-01,em01.energyDual,Good,0,
46,2026-09-15 23:36:32.479,IM-01,im01.prodTime,Good,09/15/2026 23:36:32,
47,2026-09-15 23:36:32.480,EM-01,em01.overDemand,Good,False,
48,2026-09-15 23:36:32.480,GW-LINE-B,mtc01.tempDual,Good,0,
49,2026-09-15 23:36:32.481,IM-01,im01.ready,Good,True,
50,2026-09-15 23:36:32.481,IM-01,im01.producing,Good,False,
51,2026-09-15 23:36:32.481,IM-01,im01.faultAlarm,Good,False,
52,2026-09-15 23:36:32.482,GW-LINE-B,mtc01.setTemp,Good,100,
53,2026-09-15 23:36:32.482,EM-01,em01.meterModel,Good,EM-2026-0001,
54,2026-09-15 23:36:32.482,EM-01,em01.readTime,Good,09/15/2026 23:36:32,
