seq,host_time,event_type,error_class,code,source,level,message_key,context
840,2026-09-15 23:39:35.517,LinkError,LinkDown,MODBUS.LINK,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, HoldingRegister@0, elapsed=1000ms, consecutive=11"
841,2026-09-15 23:39:35.517,LinkError,LinkDown,MODBUS.LINK,Device,Error,ss.error.comm,"device=EM-01, transport=util, unit=5, InputRegister@24, elapsed=1000ms, consecutive=2"
855,2026-09-15 23:39:35.517,LinkError,LinkDown,MODBUS.LINK,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, InputRegister@10, elapsed=1000ms, consecutive=2"
858,2026-09-15 23:39:37.607,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, InputRegister@52, elapsed=2093ms, consecutive=1"
861,2026-09-15 23:39:38.514,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=ENV-01, transport=util, unit=6, InputRegister@11, elapsed=4000ms, consecutive=4"
860,2026-09-15 23:39:38.514,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, InputRegister@100, elapsed=3000ms, consecutive=1"
867,2026-09-15 23:39:39.517,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=EM-01, transport=util, unit=5, HoldingRegister@1, elapsed=4000ms, consecutive=2"
870,2026-09-15 23:39:39.702,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, HoldingRegister@1, elapsed=2094ms, consecutive=1"
872,2026-09-15 23:39:41.795,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, HoldingRegister@8, elapsed=2094ms, consecutive=2"
875,2026-09-15 23:39:42.515,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, HoldingRegister@23, elapsed=4000ms, consecutive=2"
876,2026-09-15 23:39:42.515,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=ENV-01, transport=util, unit=6, DiscreteInput@2, elapsed=4000ms, consecutive=1"
