seq,host_time,device,point,quality,value,reason
1,2026-09-15 23:39:14.551,EM-01,em01.totalEnergy,Good,4367.06,
4,2026-09-15 23:39:14.552,ENV-01,env01.roomTemp,Good,23.9,
2,2026-09-15 23:39:14.552,IM-01,im01.statusWord,Good,1,
3,2026-09-15 23:39:14.552,GW-LINE-B,mtc01.ready,Good,True,
5,2026-09-15 23:39:14.553,EM-01,em01.forwardEnergy,Good,4367.06,
6,2026-09-15 23:39:14.553,EM-01,em01.voltageA,Good,375,
7,2026-09-15 23:39:14.553,IM-01,im01.alarmCode,Good,0,
8,2026-09-15 23:39:14.553,GW-LINE-B,mtc01.heating,Good,False,
9,2026-09-15 23:39:14.555,ENV-01,env01.humidity,Good,51,
10,2026-09-15 23:39:14.555,EM-01,em01.voltageB,Good,386,
11,2026-09-15 23:39:14.555,ENV-01,env01.dewPoint,Good,14.3,
12,2026-09-15 23:39:14.555,EM-01,em01.voltageC,Good,379,
13,2026-09-15 23:39:14.555,ENV-01,env01.noise,Good,73,
14,2026-09-15 23:39:14.555,ENV-01,env01.co2,Good,450,
15,2026-09-15 23:39:14.555,ENV-01,env01.pm25,Good,33,
16,2026-09-15 23:39:14.555,ENV-01,env01.pressureDiff,Good,2,
17,2026-09-15 23:39:14.555,ENV-01,env01.illuminance,Good,329,
18,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.actualTemp,Good,99.5,
19,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.returnTemp,Good,95.1,
20,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.pumpPressure,Good,2,
21,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.pumpFlow,Good,19,
22,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.pumpCurrent,Good,5.7,
23,2026-09-15 23:39:14.555,EM-01,em01.currentA,Good,131.7,
24,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.heatPower,Good,3,
25,2026-09-15 23:39:14.555,EM-01,em01.activePower,Good,109,
26,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.outletTemp,Good,100,
27,2026-09-15 23:39:14.555,EM-01,em01.reactivePower,Good,30,
28,2026-09-15 23:39:14.555,EM-01,em01.powerFactor,Good,0.93,
29,2026-09-15 23:39:14.555,EM-01,em01.frequency,Good,49.99,
30,2026-09-15 23:39:14.555,EM-01,em01.alarmCode,Good,0,
31,2026-09-15 23:39:14.555,EM-01,em01.demand,Good,109,
32,2026-09-15 23:39:14.555,EM-01,em01.energyF64,Good,44.3337222222227,
33,2026-09-15 23:39:14.555,GW-LINE-B,mtc01.tempAvg,Good,995.4702,
34,2026-09-15 23:39:14.555,EM-01,em01.unbalance,Good,2.894737,
36,2026-09-15 23:39:14.555,EM-01,em01.energyDual,Good,0,
35,2026-09-15 23:39:14.555,ENV-01,env01.roomTempDual,Good,0,
37,2026-09-15 23:39:14.555,ENV-01,env01.tempFluctuation,Good,12.29228,
38,2026-09-15 23:39:14.555,IM-01,im01.totalMolds,Good,2,
39,2026-09-15 23:39:14.555,IM-01,im01.goodParts,Good,2,
40,2026-09-15 23:39:14.555,IM-01,im01.rejectParts,Good,0,
41,2026-09-15 23:39:14.555,IM-01,im01.cycleTime,Good,40.5,
42,2026-09-15 23:39:14.555,IM-01,im01.avgCycleTime,Good,37.7,
43,2026-09-15 23:39:14.555,IM-01,im01.oee,Good,10,
44,2026-09-15 23:39:14.555,IM-01,im01.stage,Good,0,
45,2026-09-15 23:39:14.555,IM-01,im01.batchNo,Good,2002,
46,2026-09-15 23:39:14.556,IM-01,im01.prodTime,Good,09/15/2026 23:39:14,
47,2026-09-15 23:39:14.557,EM-01,em01.overDemand,Good,False,
48,2026-09-15 23:39:14.557,GW-LINE-B,mtc01.tempDual,Good,0,
49,2026-09-15 23:39:14.558,IM-01,im01.ready,Good,True,
50,2026-09-15 23:39:14.558,IM-01,im01.producing,Good,False,
51,2026-09-15 23:39:14.558,IM-01,im01.faultAlarm,Good,False,
52,2026-09-15 23:39:14.559,ENV-01,env01.highTempAlarm,Good,False,
53,2026-09-15 23:39:14.559,GW-LINE-B,mtc01.setTemp,Good,100,
54,2026-09-15 23:39:14.560,IM-01,im01.barrel1Temp,Good,191.8,
55,2026-09-15 23:39:14.560,IM-01,im01.barrel5Temp,Good,147.6,
56,2026-09-15 23:39:14.560,IM-01,im01.moldTemp,Good,84.5,
57,2026-09-15 23:39:14.560,IM-01,im01.oilTemp,Good,44.6,
58,2026-09-15 23:39:14.560,IM-01,im01.injectPressure,Good,0,
59,2026-09-15 23:39:14.560,IM-01,im01.injectSpeed,Good,0,
60,2026-09-15 23:39:14.560,IM-01,im01.screwSpeed,Good,0,
61,2026-09-15 23:39:14.560,IM-01,im01.clampPressure,Good,0,
62,2026-09-15 23:39:14.560,IM-01,im01.pumpCurrent,Good,0,
63,2026-09-15 23:39:14.560,IM-01,im01.hydraulicPressure,Good,0,
64,2026-09-15 23:39:14.560,IM-01,im01.power,Good,3,
65,2026-09-15 23:39:14.560,IM-01,im01.meltEnergy,Good,0,
66,2026-09-15 23:39:14.560,IM-01,im01.energyTotal,Good,1.62658333333405,
67,2026-09-15 23:39:14.560,IM-01,im01.moldTempDual,Good,0,
68,2026-09-15 23:39:14.561,GW-LINE-B,dry01.drying,Good,True,
69,2026-09-15 23:39:14.561,GW-LINE-B,dry01.levelLow,Good,False,
70,2026-09-15 23:39:14.561,EM-01,em01.meterModel,Good,EM-2026-0001,
71,2026-09-15 23:39:14.561,EM-01,em01.readTime,Good,09/15/2026 23:39:14,
72,2026-09-15 23:39:14.562,IM-01,im01.moldCloseJog,Good,False,
73,2026-09-15 23:39:14.562,IM-01,im01.start,Good,False,
74,2026-09-15 23:39:14.562,IM-01,im01.stop,Good,False,
75,2026-09-15 23:39:14.562,IM-01,im01.estop,Good,False,
76,2026-09-15 23:39:14.563,ENV-01,env01.acSetTemp,Good,24,
77,2026-09-15 23:39:14.563,GW-LINE-B,dry01.dryTemp,Good,79.4,
78,2026-09-15 23:39:14.563,GW-LINE-B,dry01.dewPoint,Good,-34.8,
79,2026-09-15 23:39:14.563,GW-LINE-B,dry01.materialLevel,Good,31,
80,2026-09-15 23:39:14.563,GW-LINE-B,dry01.heatPower,Good,3,
81,2026-09-15 23:39:14.563,GW-LINE-B,dry01.fanCurrent,Good,1.1,
82,2026-09-15 23:39:14.563,GW-LINE-B,dry01.inTemp,Good,444,
83,2026-09-15 23:39:14.563,GW-LINE-B,dry01.outTemp,Good,594,
84,2026-09-15 23:39:14.564,IM-01,im01.workMode,Good,3,
85,2026-09-15 23:39:14.564,IM-01,im01.targetOutput,Good,50000,
86,2026-09-15 23:39:14.564,IM-01,im01.cavitySetTemp,Good,234,
87,2026-09-15 23:39:14.564,IM-01,im01.moldSetTemp,Good,85,
88,2026-09-15 23:39:14.564,IM-01,im01.holdTime,Good,2.5,
89,2026-09-15 23:39:14.564,IM-01,im01.coolTime,Good,15,
90,2026-09-15 23:39:14.564,IM-01,im01.overTempLimit,Good,260,
91,2026-09-15 23:39:14.564,IM-01,im01.moldTempDualSet,Good,25,
92,2026-09-15 23:39:14.564,IM-01,im01.energyBudget,Good,1500,
93,2026-09-15 23:39:14.564,IM-01,im01.planHours,Good,28800,
94,2026-09-15 23:39:14.564,IM-01,im01.ratedPower,Good,45.5,
95,2026-09-15 23:39:14.565,GW-LINE-B,dry01.levelDual,Good,0,
96,2026-09-15 23:39:14.565,GW-LINE-B,dry01.levelTrend,Good,-5.390188,
97,2026-09-15 23:39:14.565,EM-01,em01.ctRatio,Good,20,
98,2026-09-15 23:39:14.565,EM-01,em01.demandThreshold,Good,320,
99,2026-09-15 23:39:14.566,IM-01,im01.clampForceDev,Good,-52,
100,2026-09-15 23:39:14.567,GW-LINE-B,dry01.setTemp,Good,80,
101,2026-09-15 23:39:14.567,EM-01,em01.meterNo,Good,EM-2026-0001,
102,2026-09-15 23:39:14.568,IM-01,im01.recipeName,Good,PC-ABS-757 ??????,
103,2026-09-15 23:39:14.568,IM-01,im01.bootTime,Good,09/15/2026 23:15:45,
104,2026-09-15 23:39:14.569,GW-LINE-B,rob01.inPlace,Good,True,
105,2026-09-15 23:39:14.569,ENV-01,env01.runSeconds,Good,14075,
106,2026-09-15 23:39:14.569,ENV-01,env01.sampleTime,Good,09/15/2026 23:39:14,
107,2026-09-15 23:39:14.569,ENV-01,env01.areaName,Good,注塑车间A区,
108,2026-09-15 23:39:14.569,ENV-01,env01.alarmCode,Good,0,
109,2026-09-15 23:39:14.571,ENV-01,env01.acRunning,Good,True,
110,2026-09-15 23:39:14.571,GW-LINE-B,rob01.cycleTime,Good,3,
111,2026-09-15 23:39:14.571,GW-LINE-B,rob01.totalPicks,Good,45,
112,2026-09-15 23:39:14.571,GW-LINE-B,rob01.successPicks,Good,45,
113,2026-09-15 23:39:14.571,GW-LINE-B,rob01.failPicks,Good,0,
114,2026-09-15 23:39:14.571,GW-LINE-B,rob01.posX,Good,8,
115,2026-09-15 23:39:14.571,GW-LINE-B,rob01.posY,Good,8,
116,2026-09-15 23:39:14.571,GW-LINE-B,rob01.posZ,Good,8,
117,2026-09-15 23:39:14.571,GW-LINE-B,rob01.gripState,Good,0,
118,2026-09-15 23:39:14.571,GW-LINE-B,rob01.beat,Good,1161,
119,2026-09-15 23:39:14.571,GW-LINE-B,rob01.posDual,Good,0,
120,2026-09-15 23:39:14.571,GW-LINE-B,rob01.trajectory,Good,7.872045,
121,2026-09-15 23:39:14.573,GW-LINE-B,mtc01.runSeconds,Good,14075,
122,2026-09-15 23:39:14.573,ENV-01,env01.tempDeviation,Good,-0.1,
123,2026-09-15 23:39:14.573,GW-LINE-B,mtc01.energyTotal,Good,2.10136111111114,
124,2026-09-15 23:39:14.575,GW-LINE-B,mtc01.tempDeviation,Good,-0.5,
125,2026-09-15 23:39:14.575,ENV-01,env01.tempAlarmLimit,Good,32,
126,2026-09-15 23:39:14.575,ENV-01,env01.co2Threshold,Good,1000,
127,2026-09-15 23:39:14.577,GW-LINE-B,mtc01.heatingMode,Good,1,
128,2026-09-15 23:39:14.577,ENV-01,env01.areaNameW,Good,注塑车间A区,
129,2026-09-15 23:39:14.579,GW-LINE-B,mtc01.serialNo,Good,MTC-2026-0001,
130,2026-09-15 23:39:14.579,GW-LINE-B,mtc01.calibTime,Good,09/15/2026 23:15:45,
131,2026-09-15 23:39:14.581,GW-LINE-B,dry01.drySeconds,Good,13451,
132,2026-09-15 23:39:14.581,GW-LINE-B,dry01.energyTotal,Good,2.16016666666672,
133,2026-09-15 23:39:14.582,GW-LINE-B,dry01.dewDeviation,Good,0.2,
134,2026-09-15 23:39:14.584,GW-LINE-B,dry01.materialBatch,Good,BATCH-2026W38,
135,2026-09-15 23:39:14.586,GW-LINE-B,dry01.batchBcd,Good,910,
136,2026-09-15 23:39:14.588,GW-LINE-B,rob01.runSeconds,Good,14075,
137,2026-09-15 23:39:14.590,GW-LINE-B,rob01.energyTotal,Good,1.95583333333328,
138,2026-09-15 23:39:14.592,GW-LINE-B,rob01.posDeviation,Good,-92,
139,2026-09-15 23:39:14.594,GW-LINE-B,rob01.pickDelay,Good,2,
140,2026-09-15 23:39:14.596,GW-LINE-B,rob01.programName,Good,PICK-STD-01,
142,2026-09-15 23:39:15.524,EM-01,em01.totalEnergy,Good,4369.86,
141,2026-09-15 23:39:15.524,IM-01,im01.moldTemp,Good,84.6,
143,2026-09-15 23:39:15.524,EM-01,em01.forwardEnergy,Good,4369.86,
144,2026-09-15 23:39:15.524,EM-01,em01.voltageA,Good,379,
145,2026-09-15 23:39:15.524,EM-01,em01.voltageB,Good,384,
146,2026-09-15 23:39:15.524,EM-01,em01.voltageC,Good,380,
147,2026-09-15 23:39:15.524,EM-01,em01.currentA,Good,207.9,
148,2026-09-15 23:39:15.524,EM-01,em01.activePower,Good,100,
149,2026-09-15 23:39:15.524,EM-01,em01.reactivePower,Good,36,
150,2026-09-15 23:39:15.524,EM-01,em01.powerFactor,Good,0.862,
151,2026-09-15 23:39:15.524,EM-01,em01.frequency,Good,50.04,
152,2026-09-15 23:39:15.524,EM-01,em01.demand,Good,100,
153,2026-09-15 23:39:15.524,EM-01,em01.energyF64,Good,44.3622500000005,
154,2026-09-15 23:39:15.524,IM-01,im01.oilTemp,Good,44.4,
155,2026-09-15 23:39:15.524,EM-01,em01.unbalance,Good,1.315789,
156,2026-09-15 23:39:15.524,IM-01,im01.energyTotal,Good,1.62733333333405,
157,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.actualTemp,Good,99.3,
158,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.pumpPressure,Good,4,
159,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.pumpFlow,Good,39,
160,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.pumpCurrent,Good,3.5,
161,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.heatPower,Good,8,
162,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.outletTemp,Good,99.8,
163,2026-09-15 23:39:15.526,GW-LINE-B,mtc01.tempAvg,Good,992.6694,
164,2026-09-15 23:39:15.528,ENV-01,env01.roomTemp,Good,23.8,
165,2026-09-15 23:39:15.528,ENV-01,env01.humidity,Good,53,
166,2026-09-15 23:39:15.528,ENV-01,env01.dewPoint,Good,14.4,
167,2026-09-15 23:39:15.528,ENV-01,env01.noise,Good,76,
168,2026-09-15 23:39:15.528,ENV-01,env01.pm25,Good,39,
169,2026-09-15 23:39:15.528,ENV-01,env01.pressureDiff,Good,-1,
170,2026-09-15 23:39:15.528,ENV-01,env01.illuminance,Good,382,
171,2026-09-15 23:39:15.528,ENV-01,env01.tempFluctuation,Good,12.02243,
172,2026-09-15 23:39:15.530,IM-01,im01.prodTime,Good,09/15/2026 23:39:15,
173,2026-09-15 23:39:15.534,GW-LINE-B,dry01.dewPoint,Good,-35,
174,2026-09-15 23:39:15.534,GW-LINE-B,dry01.materialLevel,Good,30,
175,2026-09-15 23:39:15.534,GW-LINE-B,dry01.heatPower,Good,4,
176,2026-09-15 23:39:15.534,GW-LINE-B,dry01.fanCurrent,Good,1.8,
