seq,host_time,event_type,error_class,code,source,level,message_key,context
13361,2026-09-16 00:04:29.426,LinkError,LinkDown,MODBUS.LINK,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, InputRegister@0, elapsed=1000ms, consecutive=11"
26462,2026-09-16 00:09:30.547,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, InputRegister@0, elapsed=2110ms, consecutive=11"
26536,2026-09-16 00:09:32.642,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=IM-01, transport=lineA, unit=1, DiscreteInput@1, elapsed=2094ms, consecutive=3"
39507,2026-09-16 00:14:31.799,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, InputRegister@52, elapsed=2094ms, consecutive=1"
39578,2026-09-16 00:14:33.892,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=3, InputRegister@9, elapsed=2094ms, consecutive=2"
39648,2026-09-16 00:14:35.986,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=3, InputRegister@52, elapsed=2093ms, consecutive=1"
39706,2026-09-16 00:14:38.079,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=3, HoldingRegister@8, elapsed=2094ms, consecutive=1"
39763,2026-09-16 00:14:40.173,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=3, HoldingRegister@24, elapsed=2094ms, consecutive=1"
39837,2026-09-16 00:14:42.267,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=4, InputRegister@22, elapsed=2094ms, consecutive=1"
39889,2026-09-16 00:14:44.360,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=4, HoldingRegister@1, elapsed=2093ms, consecutive=1"
39935,2026-09-16 00:14:46.455,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=4, HoldingRegister@10, elapsed=2094ms, consecutive=1"
40000,2026-09-16 00:14:48.548,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, InputRegister@2, elapsed=2094ms, consecutive=8"
40133,2026-09-16 00:14:52.845,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=4, DiscreteInput@4, elapsed=2094ms, consecutive=1"
40235,2026-09-16 00:14:56.048,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, InputRegister@52, elapsed=2094ms, consecutive=1"
40287,2026-09-16 00:14:58.143,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=2, HoldingRegister@1, elapsed=2094ms, consecutive=1"
40408,2026-09-16 00:15:01.329,TimeoutError,Transient,MODBUS.TIMEOUT,Device,Error,ss.error.comm,"device=GW-LINE-B, transport=lineB, unit=3, InputRegister@52, elapsed=2094ms, consecutive=1"
