host_time,at_s,threads,handles,managed_heap_mb,value_events,error_events
2026-09-15 23:59:28.511,0.0,18,332,1.70,0,0
2026-09-15 23:59:58.535,30.0,24,413,1.82,1450,0
2026-09-16 00:00:28.537,60.1,21,406,1.82,2732,0
2026-09-16 00:00:58.570,90.1,21,401,1.82,4079,0
2026-09-16 00:01:28.589,120.1,21,401,1.82,5413,0
2026-09-16 00:01:58.640,150.2,20,407,1.82,6766,0
2026-09-16 00:02:28.644,180.2,18,405,1.82,8081,0
2026-09-16 00:02:58.660,210.2,18,395,1.82,9440,0
2026-09-16 00:03:28.721,240.2,18,395,1.82,10741,0
2026-09-16 00:03:58.803,270.3,20,407,1.82,12038,0
2026-09-16 00:04:28.830,300.3,19,399,1.82,13354,0
2026-09-16 00:04:58.923,330.4,20,403,1.85,14709,1
2026-09-16 00:05:28.983,360.5,20,398,1.85,16032,1
2026-09-16 00:05:59.045,390.6,24,412,1.85,17342,1
2026-09-16 00:06:29.120,420.6,22,415,1.85,18669,1
2026-09-16 00:06:59.187,450.7,20,405,1.85,19977,1
2026-09-16 00:07:29.227,480.7,18,398,1.85,21250,1
2026-09-16 00:07:59.316,510.8,20,410,1.85,22542,1
2026-09-16 00:08:29.405,540.9,18,408,1.85,23831,1
2026-09-16 00:08:59.487,571.0,18,399,1.85,25126,1
2026-09-16 00:09:29.557,601.1,22,405,1.85,26416,1
2026-09-16 00:09:59.637,631.2,22,419,1.86,27714,3
2026-09-16 00:10:29.731,661.2,20,404,1.86,29056,3
2026-09-16 00:10:59.788,691.3,18,399,1.86,30321,3
2026-09-16 00:11:29.846,721.4,18,399,1.86,31607,3
2026-09-16 00:11:59.914,751.4,20,411,1.86,32932,3
2026-09-16 00:12:29.972,781.5,18,404,1.86,34251,3
2026-09-16 00:13:00.064,811.6,18,399,1.86,35567,3
2026-09-16 00:13:30.158,841.7,18,399,1.86,36843,3
2026-09-16 00:14:00.186,871.7,20,412,1.86,38176,3
2026-09-16 00:14:30.263,901.8,20,416,1.86,39454,3
2026-09-16 00:15:00.345,931.9,19,442,1.86,40347,15
2026-09-16 00:15:30.430,961.9,19,445,1.87,41275,26
2026-09-16 00:16:00.513,992.0,21,461,1.88,42251,36
2026-09-16 00:16:30.572,1022.1,22,462,1.88,43132,43
2026-09-16 00:17:00.626,1052.1,20,452,1.88,43969,55
2026-09-16 00:17:30.647,1082.2,19,446,1.88,44929,64
2026-09-16 00:18:00.747,1112.2,21,457,1.91,45855,74
2026-09-16 00:18:30.799,1142.3,19,452,1.92,46794,79
2026-09-16 00:19:00.874,1172.4,19,448,1.93,47720,87
2026-09-16 00:19:30.896,1202.4,19,447,1.94,48678,97
2026-09-16 00:20:00.955,1232.5,20,451,1.93,49406,108
2026-09-16 00:20:31.035,1262.5,19,445,1.96,50158,116
2026-09-16 00:21:01.102,1292.6,19,445,1.95,50922,124
2026-09-16 00:21:31.104,1322.6,19,445,1.95,51672,133
2026-09-16 00:22:01.115,1352.6,21,458,1.95,52411,145
2026-09-16 00:22:31.204,1382.7,19,452,1.95,53125,154
2026-09-16 00:23:01.225,1412.7,19,447,1.95,53885,161
2026-09-16 00:23:31.295,1442.8,19,448,1.95,54620,173
2026-09-16 00:24:01.298,1472.8,21,460,1.95,55386,182
2026-09-16 00:24:31.314,1502.8,19,424,1.95,56070,192
2026-09-16 00:25:01.342,1532.9,19,421,1.95,56709,206
2026-09-16 00:25:31.350,1562.9,20,419,1.95,57437,214
2026-09-16 00:26:01.382,1592.9,21,427,1.95,58168,226
2026-09-16 00:26:31.434,1622.9,21,443,1.95,58900,236
2026-09-16 00:27:01.475,1653.0,19,430,1.95,59651,244
2026-09-16 00:27:31.554,1683.1,19,437,1.95,60387,252
2026-09-16 00:28:01.584,1713.1,21,460,1.95,61143,263
2026-09-16 00:28:31.651,1743.2,18,444,1.95,61889,274
2026-09-16 00:29:01.735,1773.2,18,448,1.95,62651,283
